Harmonized Variable,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)
STATIN,Framingham,ex1_6d_v1.f212,MEDS - ANTI-CHOL -STATINS,0.029316916
STATIN,Framingham,ex1_7d_v2.g044,MEDS - ANTI-CHOL - STATINS,0.086306099
STATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod1,ATC CODE FOR MEDICATION OR FIRST DRUG IN COMPOUND,-
STATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod2,ATC CODE FOR SECOND DRUG IN COMPOUND,-
STATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod3,ATC CODE FOR THIRD DRUG IN COMPOUND,-
STATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod4,ATC CODE FOR FOURTH DRUG IN COMPOUND,-
STATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod1,ATC code for medication or first drug in compound,-
STATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod2,ATC code for medication or second drug in compound,-
STATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod3,ATC code for medication or third drug in compound,-
STATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod4,ATC code for medication or fourth drug in compound,-
STATIN,MESA,mesae1dres20220813.sttn1c,HMG CoA reducatace inhibitors (statins),0.044027003
STATIN,MESA,mesae2dres06222012.sttn2c,HMG CoA reducatace inhibitors (statins),12.35691224
STATIN,MESA,mesae3dres06222012.sttn3c,HMG CoA reducatace inhibitors (statins),14.22072204
STATIN,MESA,mesae4dres06222012.sttn4c,HMG CoA reducatace inhibitors (statins),17.36131494
STATIN,MESA,mesae5_drepos_20220820.sttn5c,HMG COA REDUCATACE INHIBITORS (STATINS),0.169635284
STATIN,REGARDS,baseline_meds.MEDS_STATIN,-,-
STATNONSTAT,Framingham,vr_meds_ex08_1_0280d.atc_cod1,ATC CODE FOR MEDICATION OR FIRST DRUG IN COMPOUND,-
STATNONSTAT,Framingham,vr_meds_ex08_1_0280d.atc_cod2,ATC CODE FOR SECOND DRUG IN COMPOUND,-
STATNONSTAT,Framingham,vr_meds_ex09_1b_0879d.atc_cod1,ATC code for medication or first drug in compound,-
STATNONSTAT,Framingham,vr_meds_ex09_1b_0879d.atc_cod2,ATC code for medication or second drug in compound,-
STROKE,REGARDS,stroke_outcome.STROKE19,-,-
STROKE10,REGARDS,stroke_outcome.STROKE19,-,-
STROKE10,REGARDS,stroke_outcome.STROKE19DT,-,-
STROKE10,REGARDS,baseline_calculated_variables.INHOMEDATE,-,0.046383726
STROKE - ALL CAUSE,REGARDS,stroke_outcome.STROKE19,-,-
STROKE - ALL CAUSE,REGARDS,stroke_outcome.STROKE19DT,-,-
STROKE - HEMORRHAGIC,REGARDS,stroke_outcome.HEMORRHAGIC19,-,-
STROKE - HEMORRHAGIC,REGARDS,stroke_outcome.HEMORRHAGIC19DT,-,-
STROKE - ISCHEMIC,REGARDS,stroke_outcome.ISCHEMIC19,-,-
STROKE - ISCHEMIC,REGARDS,stroke_outcome.ISCHEMIC19DT,-,-
SYSBP,ARIC,sbpa02.sbpa21,2ND AND 3RD SYSTOLIC BP AVERAGE Q21,0.079984003
SYSBP,ARIC,sbpb02.sbpb21,2ND AND 3RD SYSTOLIC BP AVERAGE Q21,0.036751194
SYSBP,ARIC,sbpc04_02.sbpc22,2ND AND 3RD SYSTOLIC BP AVERAGE Q22,0.024624477
SYSBP,ARIC,sbpd04_02.sbpc19,-,-
SYSBP,ARIC,sbp.sbp14,AVG: Systolic (mmHg),0.690817186
SYSBP,MESA,mesae1dres20220813.sbp1c,SEATED SYSTOLIC BLOOD PRESSURE (mmHg),0.044027003
SYSBP,MESA,mesae2dres06222012.sbp2c,Seated Systolic Blood Pressure (mmHg),8.570589962
SYSBP,MESA,mesae3dres06222012.sbp3c,SEATED SYSTOLIC BLOOD PRESSURE (mmHg),12.88523628
SYSBP,MESA,mesae4dres06222012.sbp4c,Seated systolic blood pressure (mmhg),16.3780452
SYSBP,MESA,mesae5_drepos_20220820.sbp5c,SEATED SYSTOLIC BLOOD PRESSURE (mmHg),1.335877863
SYSBP,REGARDS,baseline_calculated_variables.SBP,-,0.284928602
SYSBP1,Framingham,ex1_1d_v3.a55,"PHYSICIAN SYSTOLIC BLOOD PRESSURE, 1ST",0.180433039
SYSBP1,Framingham,ex1_2d_v3.b24,D201-047-SYS-PHYS-FIRST,0.026652452
SYSBP1,Framingham,ex1_3d_v1.c184,FIRST SYSTOLIC BLOOD PRESSURE,0.053163211
SYSBP1,Framingham,ex1_4d_v1.d192,SYSTOLIC BP - PHYSICIAN - 1ST READING,-
SYSBP1,Framingham,ex1_5d_v1.e485,SYSTOLIC PRESSURE - 1ST MD READING,0.054229935
SYSBP1,Framingham,ex1_6d_v1.f476,PHYSICIAN BP-SYSTOLIC-1ST READING,0.058633832
SYSBP1,Framingham,ex1_7d_v2.g271,PHYSICIAN BP SYSTOLIC - 1ST READING,0.115074799
SYSBP1,Framingham,e_exam_ex08_1_0005d.h111,PHYSICIAN SYSTOLIC BP - 1ST READING,0.13400335
SYSBP1,Framingham,e_exam_ex09_1b_0844d.j116,"MDBP1 - SYSTOLIC1, MMHG",0.111648679
SYSBP2,Framingham,ex1_1d_v3.a57,"PHYSICIAN SYSTOLIC BLOOD PRESSURE, 2ND",82.23736969
SYSBP2,Framingham,ex1_2d_v3.b26,D201-053-SYS-PHYS-SECOND,0.106609808
SYSBP2,Framingham,ex1_3d_v1.c286,SECOND SYSTOLIC BLOOD PRESSURE,0.372142477
SYSBP2,Framingham,ex1_4d_v1.d288,SYSTOLIC BP - PHYSICIAN - 2ND READING,0.281906715
SYSBP2,Framingham,ex1_5d_v1.e581,SYSTOLIC PRESSURE - 2ND MD READING,0.081344902
SYSBP2,Framingham,ex1_6d_v1.f576,PHYSICIAN BP-2ND READING-SYSTOLIC,0.146584579
SYSBP2,Framingham,ex1_7d_v2.g354,PHYSICIAN BP SYSTOLIC - 2ND READING,0.143843498
SYSBP2,Framingham,e_exam_ex08_1_0005d.h233,PHYSICIAN SYSTOLIC BP - 2ND READING,0.201005025
SYSBP2,Framingham,e_exam_ex09_1b_0844d.j255,"MDBP2 - SYST, MMHG",0.29772981
T2STROKE,REGARDS,stroke_outcome.STROKE19DT,-,-
T2STROKE,REGARDS,baseline_calculated_variables.INHOMEDATE,-,0.046383726
T2STROKE10,REGARDS,stroke_outcome.STROKE19,-,-
T2STROKE10,REGARDS,stroke_outcome.STROKE19DT,-,-
T2STROKE10,REGARDS,baseline_calculated_variables.INHOMEDATE,-,0.046383726
T2STROKE10_YRS,REGARDS,stroke_outcome.STROKE19,-,-
T2STROKE10_YRS,REGARDS,stroke_outcome.STROKE19DT,-,-
T2STROKE10_YRS,REGARDS,baseline_calculated_variables.INHOMEDATE,-,0.046383726
T2STROKE_YRS,REGARDS,stroke_outcome.STROKE19DT,-,-
T2STROKE_YRS,REGARDS,baseline_calculated_variables.INHOMEDATE,-,0.046383726
TC,ARIC,lipa.lipa01,TOTAL CHOLESTEROL (MG-DL),0.020308692
TC,ARIC,lipb.lipb01a,CHOLESTEROL (VALUE) Q1A,0.014786337
TC,ARIC,lipc04.lipc1a,CHOLESTEROL (VALUE IN MG/DL) Q1A,-
TC,ARIC,lipd04.lipd1a,CHOLESTEROL (VALUE) Q1A,0.009175154
TC,ARIC,lip.lip3,Total Cholesterol (mg/dL),0.914324416
TC,Framingham,vr_wkthru_ex09_1_1001d.tc1,"Total cholesterol (mg/dL), Exam 1",1.744186047
TC,Framingham,vr_wkthru_ex09_1_1001d.tc2,"Total cholesterol (mg/dL), Exam 2",26.4234162
TC,Framingham,vr_wkthru_ex09_1_1001d.tc3,"Total cholesterol (mg/dL), Exam 3",27.08500401
TC,Framingham,vr_wkthru_ex09_1_1001d.tc4,"Total cholesterol (mg/dL), Exam 4",23.61668003
TC,Framingham,vr_wkthru_ex09_1_1001d.tc5,"Total cholesterol (mg/dL), Exam 5",26.62389735
TC,Framingham,vr_wkthru_ex09_1_1001d.tc6,"Total cholesterol (mg/dL), Exam 6",32.55813953
TC,Framingham,vr_wkthru_ex09_1_1001d.tc7,"Total cholesterol (mg/dL), Exam 7",34.38251804
TC,Framingham,vr_wkthru_ex09_1_1001d.tc8,"Total cholesterol (mg/dL), Exam 8",42.52205293
TC,Framingham,vr_wkthru_ex09_1_1001d.tc9,"Total cholesterol (mg/dL), Exam 9",54.87169206
TC,MESA,mesae1dres20220813.chol1,TOTAL CHOLESTEROL (mg/dl),0.337540358
TC,MESA,mesae2dres06222012.chol2,TOTAL CHOLESTEROL (mg/dl),9.23099501
TC,MESA,mesae3dres06222012.chol3,TOTAL CHOLESTEROL (mg/dl),13.53096566
TC,MESA,mesae4dres06222012.chol4,Total Cholesterol (mg/dl),17.31728794
TC,MESA,mesae5_drepos_20220820.chol5,TOTAL CHOLESTEROL (mg/dl),2.841391009
TC,REGARDS,baseline_calculated_variables.CHOLEST,-,4.316999636
TRIG,ARIC,lipa.lipa02,TOTAL TRIGLYCERIDES (MG-DL),-
TRIG,ARIC,lipb.lipb02a,TRIGLYCERIDE (VALUE) Q2A,0.029572675
TRIG,ARIC,lipc04.lipc2a,TRIGLYCERIDE (VALUE IN MG/DL) Q2A,-
TRIG,ARIC,lipd04.lipd2a,TRIGLYCERIDE (VALUE) Q2A,0.009175154
TRIG,ARIC,lip.lip8,Total Triglycerides (mg/dL),0.914324416
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig1,"Triglycerides (mg/dL), Exam 1",1.784282278
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig2,"Triglycerides (mg/dL), Exam 2",26.4234162
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig3,"Triglycerides (mg/dL), Exam 3",27.10505213
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig4,"Triglycerides (mg/dL), Exam 4",23.65677626
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig5,"Triglycerides (mg/dL), Exam 5",26.62389735
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig6,"Triglycerides (mg/dL), Exam 6",32.55813953
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig7,"Triglycerides (mg/dL), Exam 7",34.38251804
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig8,"Triglycerides (mg/dL), Exam 8",42.52205293
TRIG,Framingham,vr_wkthru_ex09_1_1001d.trig9,"Triglycerides (mg/dL), Exam 9",54.87169206
TRIG,MESA,mesae1dres20220813.trig1,TRIGLYCERIDES (mg/dl),0.337540358
TRIG,MESA,mesae2dres06222012.trig2,TRIGLYCERIDES (mg/dl),9.23099501
TRIG,MESA,mesae3dres06222012.trig3,TRIGLYCERIDES (mg/dl),13.53096566
TRIG,MESA,mesae4dres06222012.trig4,Triglycerides (mg/dl),17.31728794
TRIG,MESA,mesae5_drepos_20220820.trig5,TRIGLYCERIDES (mg/dl),2.841391009
TRIG,REGARDS,baseline_calculated_variables.TRIGLY,-,4.346817745
VALVDIS,Framingham,ex1_3d_v1.c339,CDI: RHEUMATIC HEART DISEASE,0.053163211
VALVDIS,Framingham,ex1_3d_v1.c340,CDI: AORTIC VALVE DISEASE,0.079744817
VALVDIS,Framingham,ex1_3d_v1.c341,CDI: MITRAL VALVE DISEASE,0.053163211
VALVDIS,Framingham,ex1_6d_v1.f617,CDI-RHEUMATIC HEART DISEASE,1.34857813
VALVDIS,Framingham,ex1_6d_v1.f618,CDI-AORTIC VALVE DISEASE,1.34857813
VALVDIS,Framingham,ex1_6d_v1.f619,CDI-MITRAL VALVE DISEASE,1.377895045
VALVDIS,Framingham,e_exam_ex08_1_0005d.h339,CDI - RHEUMATIC HEART DISEASE,0.201005025
VALVDIS,Framingham,e_exam_ex08_1_0005d.h340,CDI - AORTIC VALVE DISEASE,0.167504188
VALVDIS,Framingham,e_exam_ex08_1_0005d.h341,CDI - MITRAL VALVE DISEASE,0.167504188
VALVDIS,MESA,mesae1dres20220813.rheuhv1,RHEUMATIC HEART DISEASE: SELF-REPORT,0.014675668
VEGETABLES,ARIC,dtia.dtia15,CONSUMED STRING OR GREEN BEANS Q15,-
VEGETABLES,ARIC,dtia.dtia16,CONSUMED BROCCOLI Q16,-
VEGETABLES,ARIC,dtia.dtia17,"CABBAGE, CAULIFLWR,BUS SPROUT Q17",-
VEGETABLES,ARIC,dtia.dtia18,CONSUMED CARROTS Q18,-
VEGETABLES,ARIC,dtia.dtia19,CONSUMED CORN Q19,-
VEGETABLES,ARIC,dtia.dtia20,"SPINACH, COLLARDS, GREENS Q20",-
VEGETABLES,ARIC,dtia.dtia21,CONSUMED PEAS OR LIMA BEANS Q21,-
VEGETABLES,ARIC,dtia.dtia22,CONSUMED DARK YELLOW SQUASH Q22,-
VEGETABLES,ARIC,dtia.dtia23,CONSUMED SWEET POTATOES Q23,-
VEGETABLES,ARIC,dtia.dtia24,CONSUMED BEANS OR LENTILS Q24,-
VEGETABLES,ARIC,dtia.dtia25,CONSUMED TOMATOES Q25,-
VEGETABLES,ARIC,dtic04.dtic15,CONSUMED STRING OR GREEN BEANS Q15,-
VEGETABLES,ARIC,dtic04.dtic16,CONSUMED BROCCOLI Q16,-
VEGETABLES,ARIC,dtic04.dtic17,"CABBAGE, CAULIFLWR, BRUS SPROUTS Q17",-
VEGETABLES,ARIC,dtic04.dtic18,CONSUMED CARROTS Q18,-
VEGETABLES,ARIC,dtic04.dtic19,CONSUMED CORN Q19,-
VEGETABLES,ARIC,dtic04.dtic20,"SPINACH, COLLARDS, GREENS Q20",-
VEGETABLES,ARIC,dtic04.dtic21,CONSUMED PEAS OR LIMA BEANS Q21,-
VEGETABLES,ARIC,dtic04.dtic22,CONSUMED DARK YELLOW SQUASH Q22,-
VEGETABLES,ARIC,dtic04.dtic23,CONSUMED SWEET POTATOES Q23,-
VEGETABLES,ARIC,dtic04.dtic24,CONSUMED BEANS OR LENTILS Q24,-
VEGETABLES,ARIC,dtic04.dtic25,CONSUMED TOMATOES Q25,-
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.greenben,GREEN STRING BEANS OR ASPARAGUS,1.434878587
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.broccoli,HALF CUP BROCCOLI,1.379690949
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.cabbage,CABBAGE COLE SLAW OR SAUERKRAUT,1.655629139
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.caulflwr,CAULIFLOWER-HALF CUP,1.710816777
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.bruselsp,HALF CUP BRUSSEL SPROUTS,1.62803532
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.carrots,ONE WHOLE OR HALF CUP COOKED,0.965783665
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.corn,EAR OR HALF CUP FROZEN,1.62803532
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.spinach,HALF CUP SPINACH RAW OR COOKED,1.62803532
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.peppers,GREEN OR RED PEPPERS-HALF CUP,2.317880795
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.kale,"KALE,MUSTARD,CHARD,BEET OR OTHER GREENS",2.786975717
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.iceberg,CUP OF ICEBERG OR HEAD LETTUCE,1.490066225
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.romaine,"ESCAROLE,ROMAINE,WATERCRESS LEAFLETTUCE",2.73178808
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.peas,"PEAS,LIMA BEANS OR PEA PODS",1.766004415
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.wintersq,YELLOW WINTER SQUASH OR PUMPKINS,1.766004415
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.zucchini,"EGGPLANT,ZUCCHINI,OTHER SUMMER SQUASH",1.710816777
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.yams,HALF CUP YAMS OR SWEET POTATOES,2.262693157
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.tomatoes,ONE TOMATO OR HALF CUP,1.407284768
VEGETABLES,Framingham,q_ffreq_ex03_1_0302d.lentils,"LENTILS, CHICK PEAS, KIDNEY,PINTO BEANS",2.124724062
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd45,TOMATOES:(servings/week),0.262812089
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd50,STRING BEANS:(servings/week),0.361366623
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd51,BROCCOLI:(servings/week),0.821287779
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd52,CABBAGE/COLE SLAW:(servings/week),0.295663601
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd53,CAULIFLOWER:(servings/week),0.55847569
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd54,BRUSSELS SPROUTS:(servings/week),0.624178712
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd55,"CARROTS, RAW:(servings/week)",1.248357424
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd56,"CARROTS, COOKED:(servings/week)",0.788436268
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd57,CORN:(servings/week),1.018396846
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd58,PEAS/LIMA BEANS:(servings/week),0.459921156
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd59,MIXED VEGETABLES:(servings/week),0.722733246
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd60,BEANS/LENTILS:(servings/week),0.85413929
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd61,WINTER SQUASH:(servings/week),0.919842313
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd62,SUMMER SQUASH:(servings/week),0.492772668
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd63,YAMS/SWEET POTATOES:(servings/week),0.164257556
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd64,"SPINACH, COOKED:(servings/week)",0.328515112
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd65,"SPANACH, RAW:(servings/week)",0.788436268
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd66,KALE/MUSTARD/CHARD:(servings/week),0.85413929
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd67,ICEBERG/HEAD LETTUCE:(servings/week),0.886990802
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd68,ROMAINE/LEAF LETTUCE:(servings/week),0.657030223
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd69,CELERY:(servings/week),0.657030223
VEGETABLES,Framingham,vr_ffreq_ex06_1_0506d.ffd70,BEETS:(servings/week),0.328515112
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd45,TOMATOES:(servings/week),0.483451097
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd50,STRING BEANS:(servings/week),0.929713648
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd51,BROCCOLI:(servings/week),0.892525102
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd52,CABBAGE/COLE SLAW:(servings/week),0.409074005
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd53,CAULIFLOWER:(servings/week),0.520639643
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd54,BRUSSELS SPROUTS:(servings/week),0.669393827
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd55,"CARROTS, RAW:(servings/week)",1.375976199
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd56,"CARROTS, COOKED:(servings/week)",1.375976199
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd57,CORN:(servings/week),1.413164745
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd58,PEAS/LIMA BEANS:(servings/week),0.520639643
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd59,MIXED VEGETABLES:(servings/week),1.487541837
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd60,BEANS/LENTILS:(servings/week),0.557828189
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd61,WINTER SQUASH:(servings/week),1.227222016
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd62,SUMMER SQUASH:(servings/week),0.260319822
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd63,YAMS/SWEET POTATOES:(servings/week),0.148754184
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd64,"SPINACH, COOKED:(servings/week)",0.855336556
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd65,"SPANACH, RAW:(servings/week)",0.855336556
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd66,KALE/MUSTARD/CHARD:(servings/week),1.450353291
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd67,ICEBERG/HEAD LETTUCE:(servings/week),1.338787653
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd68,ROMAINE/LEAF LETTUCE:(servings/week),0.706582373
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd69,CELERY:(servings/week),0.595016735
VEGETABLES,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd70,BEETS:(servings/week),0.446262551
VEGETABLES,REGARDS,ffq_analyzed.VEGSRV,-,-
VISDAY,ARIC,derive2_10.v2days,DAYS SINCE EXAM 1,-
VISDAY,ARIC,derive37.v3days,DAYS SINCE EXAM 1,-
VISDAY,ARIC,derive47.v4days,DAYS SINCE EXAM 1,-
VISDAY,ARIC,derive51.v5date51_days,"Visit 5 Date, NCS Stage 1 - days from visit 1",-
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date2,Date of Exam 2,24.77947073
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date3,Date of Exam 3,24.57898958
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date4,Date of Exam 4,21.77225341
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date5,Date of Exam 5,26.06255012
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date6,Date of Exam 6,31.61587811
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date7,Date of Exam 7,30.3127506
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date8,Date of Exam 8,40.1563753
VISDAY,Framingham,vr_wkthru_ex09_1_1001d.date9,Date of Exam 9,51.88452285
VISDAY,MESA,mesae2dres06222012.e12dyc,"Time between exam visits, in days",8.526562959
VISDAY,MESA,mesae3dres06222012.e13dyc,"Time between first and third visits, in days",12.72380393
VISDAY,MESA,mesae4dres06222012.e14dyc,"Time between first and fourth visits, in days",14.61696507
VISDAY,MESA,mesae5_drepos_20220820.e15dyc,"TIME BETWEEN FIRST AND FIFTH VISITS, IN DAYS",-
WGT,ARIC,anta.anta04,WEIGHT TO THE NEAREST LB Q4,0.159957345
WGT,ARIC,antb.antb01,WEIGHT TO NEAREST LB Q1,0.154355017
WGT,ARIC,antc04.antc2,WEIGHT TO NEAREST LB Q2,0.057494867
WGT,ARIC,antd05.antd2,WEIGHT TO NEAREST LB Q2,0.282203004
WGT,ARIC,ant.ant4,Weight (kg),1.48272957
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt1,"Weight (pounds), Exam 1",-
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt2,"Weight (pounds), Exam 2",24.77947073
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt3,"Weight (pounds), Exam 3",25.32076985
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt4,"Weight (pounds), Exam 4",21.97273456
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt5,"Weight (pounds), Exam 5",26.40336808
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt6,"Weight (pounds), Exam 6",31.97674419
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt7,"Weight (pounds), Exam 7",30.93424218
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt8,"Weight (pounds), Exam 8",40.29671211
WGT,Framingham,vr_wkthru_ex09_1_1001d.wgt9,"Weight (pounds), Exam 9",51.88452285
WGT,MESA,mesae1dres20220813.wtlb1,WEIGHT (lbs),-
WGT,MESA,mesae2dres06222012.wtlb2,WEIGHT (lbs),8.555914294
WGT,MESA,mesae3dres06222012.wtlb3,WEIGHT (lbs),12.84120928
WGT,MESA,mesae4dres06222012.wtlb4,WEIGHT (lbs),16.30466686
WGT,MESA,mesae5_drepos_20220820.wtlb5,WEIGHT (lbs),1.547921968
WGT,REGARDS,baseline_calculated_variables.WEIGHT_KG,-,0.351191068
